Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT
Volunteer,4,D ,D - Lower-level in non-relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Women's Health Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Senior Vice President of Business Development,4,B ,B - SVP/VP in decision-making position,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT
Founder and Chief Executive Officer,4,A ,A - CEO/CXO,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT
Senior Vice President Merchandising and Marketing,4,B ,B - SVP/VP in decision-making position,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT
"Senior Director, Integrated Marketing",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT
Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT
Head of Mobile Development,5,B ,B - SVP/VP in decision-making position,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES
,4,X ,X - Not Specified,Media and Entertainment,Movies,Media,,Offline Sources,SALES
,4,X ,X - Not Specified,Media and Entertainment,Movies,Media,,Offline Sources,SALES
,6,F ,F - Left the company,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES
GM - Technology,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
,6,X ,X - Not Specified,Retail,Retail - Other,Retail,Retail,Direct Traffic,rokt.com/
Tech Lead,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Information Technology Director,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
Director of Product Development,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
Senior Manager of Digital Customization,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
Vice President Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Director of Partnerships,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
Associate Director - FP&A,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,INTEGRATION
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,TEXTILES,Offline Sources,SALES
Cofounder,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
President,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,TEXTILES,Other Campaigns,advertisehere
CTO,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Senior Developer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Business Solutions Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
,4,X ,X - Not Specified,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Vice President,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
"Deputy CEO, COO",4,A ,A - CEO/CXO,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,CONTACTS
,4,X ,X - Not Specified,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Senior Web & Mobile Developer,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Chief Operating Officer,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
Head of Performance Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Senior CRM Executive - Luxury Division,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES
Chief Technology Officer,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES
Head of Marketing and Analysis,5,B ,B - SVP/VP in decision-making position,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Brand Manager (Mama Mio & Mio),5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Head of Investor and Government Relations,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
VP of Finance; Corporate Controller,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
Purchasing Systems Coordinator,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,COMPUTER_SOFTWARE,Offline Sources,SALES
Mr,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES
Channel Marketing Manager - Digital Ventures,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES
Senior Legal Counsel,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Senior Legal Counsel,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Direct Traffic,rokt.com/
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Advertising Executive,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,IMPORT
Display Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Direct Traffic,rokt.com/
CMO,4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Direct Traffic,rokt.com/
"Head, Social - MyProtein",5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
Data Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Global IT PMO Lead,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Team Leader,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Business Integration,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Brand Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Business Integration,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Senior FP&A Manager,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Business Manager ISGO,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,IMPORT
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,IMPORT
Head of Ecommerce and Product,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS
Program Support in the Office of the Executive Director - Capital Works (AO4),4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Director Ecommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
"Senior Vice President, Marketing and E - Commerce",4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT
"Senior CRM Manager, Sony Music- UK",5,C ,C - Lower-level in relevant teams,Retail,"Music, Movies and Photography",Retail,MUSIC,Offline Sources,IMPORT
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Frontend Web Developer,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Director of Paid Social,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES
Chief Operating Officer,4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS
Head of Sales,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS
"Head, eCommerce",5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
,4,X ,X - Not Specified,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
CISO,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Senior Software Engineer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API
General Manager of ExecuCar,5,A ,A - CEO/CXO,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT
Social Media Specialist,5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT
,5,F ,F - Left the company,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
Full Stack Development Lead,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
Director of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
Support Agent,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,API
Managing Director,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Other Campaigns,advertisehere
Co-Founder || Managing Partner,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Senior Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Chief Executive Officer,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,Consumer Goods,Offline Sources,IMPORT
Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
Manager Marketing,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,IMPORT
,5,F ,F - Left the company,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
CEO,5,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
"Director of Business Affairs, Recruiting & Human Resources",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
Head of Product,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT
Product,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT
Co-Founder and Executive Chairman,4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT
Business Development and Finance,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT
Digital Marketing Project Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API
Financial Controller,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,API
,4,X ,X - Not Specified,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
"Co Founder, General Manager",6,A ,A - CEO/CXO,B2B,Marketing and Advertising,B2B,COMPUTER_SOFTWARE,Offline Sources,SALES
,4,F ,F - Left the company,B2B,Marketing and Advertising,Deals,PUBLISHING,Offline Sources,API
President,5,A ,A - CEO/CXO,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT
Director Of Marketing and Partner Relations,5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT
Executive Assistant to CEO,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Social Media Manager,5,C ,C - Lower-level in relevant teams,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES
"Senior eCommerce Manager, ANZ",5,C ,C - Lower-level in relevant teams,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API
Delivery Lead/Manager,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Email Marketing Executive,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
"Head of Digital, AU + NZ",4,B ,B - SVP/VP in decision-making position,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API
,5,F ,F - Left the company,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
Account Manager,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,PUBLISHING,Offline Sources,SALES
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Group. Manager Financial Planning and Analysis,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES
"Marketing Manager, CRM",5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API
Financial Analyst,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
Senior Marketing Exec,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Calendar,SPORTS,Offline Sources,IMPORT
Vice President Product Management,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
Chief Ecommerce Officer,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
E-Commerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
VP of eCommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
VP & GM of Direct to Consumer,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
"Senior Director, Direct to Consumer Marketing",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
Director of Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
Chief Operations Officer,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,SALES
Chief Digital Officer,5,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS
Sr. Vice President Digital Media Services,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,API
Finance Officer,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
Finance Manager,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
Managing Director,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
Senior Public Relations Executive,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Head of Partnerships,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Acquisition Marketing & Retention,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES
Marketing Analyst,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Founder/Developer,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Organic Search,Unknown keywords (SSL)
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Chief Financial Officer & Company Secretary,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API
Marketing Manager,4,C ,C - Lower-level in relevant teams,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Marketing - FreeBizMag.com,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
President,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
General Manager,4,A ,A - CEO/CXO,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES
Executive Director of Consumer Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT
MD THG Media,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT
Group Financial Controller,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,SALES
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
Market Planning and Channel Optimization,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
VP GM / Retail & eCommerce,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,API
VP User Acquisition,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
CEO,6,A ,A - CEO/CXO,Services,Utilities,Electronics & Gaming,Local services,Offline Sources,SALES
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,API
Vice President of Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,API
N/a,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,API
Head of Ecommerce,5,B ,B - SVP/VP in decision-making position,Retail,Sports,Telco,Internet,Offline Sources,API
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,API
"Director, Online Marketing (Digital Marketing & CRM)",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,RETAIL,Offline Sources,API
Co-Founder - Trading Director,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
Director - Loyalty and Online Partnerships,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Web Development,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Arts & Entertainment,Offline Sources,API
President,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,Arts & Entertainment,Offline Sources,API
TBC,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API
EVP,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API
ANZ Brand & Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API
Managing Director,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,API
"VP, International Markets",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
Australian Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Managing Director,5,A ,A - CEO/CXO,Travel,Travel - Other,Travel,Travel & Tourism,Offline Sources,API
"Vice President, Digital and Acquisition Marketing",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,API
CMO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,API
Global Head of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Online Marketing Projects Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API
TBC,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API
Marketing,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API
Chief Operating Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API
Co-Chairman and Co-Chief Executive Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API
Chief Operating Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,API
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,API
Marketing & Sales Coordinator,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Director,6,D ,D - Lower-level in non-relevant teams,Retail,Deals and Group Buying,Electronics & Gaming,COMPUTER_SOFTWARE,Offline Sources,API
MD,6,A ,A - CEO/CXO,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API
Projects manager,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
SVP Marketing & Business Development,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API
Marketing & Digital Strategy Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API
