0,1,2,3,4,5,6,7,8,9,Stored Title
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,IMPORT,Digital Marketing Manager
Digital Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,IMPORT,COO
Head of Ecommerce and Product,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS,Head of Ecommerce and Product
Program Support in the Office of the Executive Director - Capital Works (AO4),4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Director
Director Ecommerce,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,Director
"Senior Vice President, Marketing and E - Commerce",4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,President
"Senior CRM Manager, Sony Music- UK",5,C ,C - Lower-level in relevant teams,Retail,"Music, Movies and Photography",Retail,MUSIC,Offline Sources,IMPORT,"Senior CRM Manager, Sony Music- UK"
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Digital Marketing Manager
Frontend Web Developer,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Developer
Director of Paid Social,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES,Director
Chief Operating Officer,4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS,Chief Operating Officer
Head of Sales,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS,Head of Sales
"Head, eCommerce",5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT,"Head, eCommerce"
CISO,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,CISO
Senior Software Engineer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API,Senior Software Engineer
General Manager of ExecuCar,5,A ,A - CEO/CXO,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT,General Manager
Social Media Specialist,5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT,Social Media Specialist
Full Stack Development Lead,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API,Full Stack Development Lead
Director of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES,Director
Support Agent,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,API,Support Agent
Managing Director,6,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Other Campaigns,advertisehere,Director
Co-Founder || Managing Partner,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Founder
Senior Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Senior Counsel
Chief Executive Officer,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,Consumer Goods,Offline Sources,IMPORT,CEO
Counsel,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Counsel
Manager Marketing,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,IMPORT,Manager Marketing
CEO,5,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,CEO
"Director of Business Affairs, Recruiting & Human Resources",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,Director
Head of Product,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT,Head of Product
Product,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT,Product
Co-Founder and Executive Chairman,4,A ,A - CEO/CXO,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT,Founder
Business Development and Finance,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,IMPORT,Business Development and Finance
Digital Marketing Project Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API,Digital Marketing Project Manager
Financial Controller,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,API,Financial Controller
"Co Founder, General Manager",6,A ,A - CEO/CXO,B2B,Marketing and Advertising,B2B,COMPUTER_SOFTWARE,Offline Sources,SALES,General Manager
President,5,A ,A - CEO/CXO,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT,President
Director Of Marketing and Partner Relations,5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,IMPORT,Director
Executive Assistant to CEO,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,CEO
Social Media Manager,5,C ,C - Lower-level in relevant teams,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES,Social Media Manager
"Senior eCommerce Manager, ANZ",5,C ,C - Lower-level in relevant teams,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES,Ecommerce Manager
Delivery Lead/Manager,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Delivery Lead/Manager
Email Marketing Executive,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Email Marketing Executive
"Head of Digital, AU + NZ",4,B ,B - SVP/VP in decision-making position,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API,"Head of Digital, AU + NZ"
Account Manager,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,PUBLISHING,Offline Sources,SALES,Account Manager
Senior Product Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Senior Product Manager
Group. Manager Financial Planning and Analysis,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Group. Manager Financial Planning and Analysis
Software Engineer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES,Software Engineer
"Marketing Manager, CRM",5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API,"Marketing Manager, CRM"
Financial Analyst,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,Financial Analyst
Senior Marketing Exec,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Calendar,SPORTS,Offline Sources,IMPORT,Senior Marketing Exec
Vice President Product Management,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,President
Chief Ecommerce Officer,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,Chief Ecommerce Officer
E-Commerce Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,E-Commerce Manager
VP of eCommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,Vice President
VP & GM of Direct to Consumer,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,General Manager
"Senior Director, Direct to Consumer Marketing",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,Director
Director of Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,Director
Chief Operations Officer,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,SALES,Chief Operating Officer
Chief Digital Officer,5,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS,Chief Digital Officer
Sr. Vice President Digital Media Services,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,API,President
Finance Officer,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API,Finance Officer
Finance Manager,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API,Finance Manager
Managing Director,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES,Director
Senior Public Relations Executive,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Senior Public Relations Executive
Head of Partnerships,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Head of Partnerships
Acquisition Marketing & Retention,4,C ,C - Lower-level in relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES,Acquisition Marketing & Retention
Marketing Analyst,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,Marketing Analyst
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES,Head Of Marketing
Founder/Developer,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES,Founder
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Organic Search,Unknown keywords (SSL),Digital Marketing Manager
Chief Financial Officer & Company Secretary,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,API,Chief Financial Officer & Company Secretary
Marketing Manager,4,C ,C - Lower-level in relevant teams,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES,Marketing Manager
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Digital Marketing Manager
Marketing - FreeBizMag.com,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Marketing - FreeBizMag.com
President,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,President
General Manager,4,A ,A - CEO/CXO,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES,General Manager
Executive Director of Consumer Marketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT,Director
MD THG Media,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT,MD THG Media
Group Financial Controller,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,SALES,Group Financial Controller
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES,Director
Market Planning and Channel Optimization,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Market Planning and Channel Optimization
VP GM / Retail & eCommerce,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,API,General Manager
VP User Acquisition,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,Vice President
CEO,6,A ,A - CEO/CXO,Services,Utilities,Electronics & Gaming,Local services,Offline Sources,SALES,CEO
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,API,Marketing Manager
Vice President of Marketing,4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,API,President
N/a,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,API,n/a
Head of Ecommerce,5,B ,B - SVP/VP in decision-making position,Retail,Sports,Telco,Internet,Offline Sources,API,Head of Ecommerce
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,API,National Marketing Manager
"Director, Online Marketing (Digital Marketing & CRM)",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,RETAIL,Offline Sources,API,Director
Co-Founder - Trading Director,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Founder
Director - Loyalty and Online Partnerships,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Director
Marketing Manager,5,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Marketing Manager
Web Development,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Arts & Entertainment,Offline Sources,API,Web Development
President,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,Arts & Entertainment,Offline Sources,API,President
TBC,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API,TBC
EVP,4,A ,A - CEO/CXO,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API,Vice President
ANZ Brand & Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,ANZ Brand & Marketing Manager
Managing Director,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,API,Director
"VP, International Markets",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,Vice President
Australian Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Australian Marketing Manager
Managing Director,5,A ,A - CEO/CXO,Travel,Travel - Other,Travel,Travel & Tourism,Offline Sources,API,Director
"Vice President, Digital and Acquisition Marketing",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,API,President
CMO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,API,CMO
Global Head of Operations,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Global Head of Operations
Online Marketing Projects Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,API,Online Marketing Projects Manager
TBC,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API,TBC
Marketing,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API,Marketing
Chief Operating Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API,Chief Operating Officer
Co-Chairman and Co-Chief Executive Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API,CEO
CEO,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API,CEO
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,Marketing Manager
Product Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,API,Product Manager
Chief Operating Officer,4,A ,A - CEO/CXO,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,API,Chief Operating Officer
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,API,National Marketing Manager
Marketing & Sales Coordinator,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API,COO
Marketing Director,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Director
Director,6,D ,D - Lower-level in non-relevant teams,Retail,Deals and Group Buying,Electronics & Gaming,COMPUTER_SOFTWARE,Offline Sources,API,Director
MD,6,A ,A - CEO/CXO,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API,MD
Projects manager,6,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Dating,Telco,COMPUTER_SOFTWARE,Offline Sources,API,Projects manager
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Director
SVP Marketing & Business Development,4,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,Vice President
Marketing & Digital Strategy Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,API,Marketing & Digital Strategy Manager
Commercial Director at Oztix,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API,Director
Accounts Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API,Accounts Manager
Digital Strategy & Commercial Mgr,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,API,Digital Strategy & Commercial Mgr
Senior Customer Advisor,5,D ,D - Lower-level in non-relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,API,Senior Customer Advisor
Commercial Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,API,Commercial Manager
Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Developer
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Marketing Manager
"Partnership Manager, Ozsale",4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,"Partnership Manager, Ozsale"
Chief Executive,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Chief Executive
Chief Technology Officer,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Chief Technology Officer
COO,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,API,COO
Marketing Communications Manager - eCommerce,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,API,Marketing Communications Manager - eCommerce
Director of Digital Strategy and Marketing,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,API,Director
Trading Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API,Trading Manager
Operations Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,API,Operations Manager
Preloved Trading Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API,Preloved Trading Manager
Director,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,API,Director
"Product and Marketing Manager, New Media",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Classifieds,Media,Arts & Entertainment,Offline Sources,API,"Product and Marketing Manager, New Media"
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,API,Marketing Manager
CEO,5,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API,CEO
"SVP, Partnership Marketing and Sales",5,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API,Vice President
Partners and Outreach Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,API,Partners and Outreach Manager
CEO,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,API,CEO
"Director, Account Management",5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,API,Director
Online Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Online Marketing Manager
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Email Marketing Manager
Senior Account Manager - Western Australia,5,D ,D - Lower-level in non-relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Organic Search,Unknown keywords (SSL),Account Manager
